ticker
LYB
EGO
AXTA
ALB
X
IPI
EMES
LOMA
MUX
CRH
CDE
GCP
ICL
AUY
SHW
CLF
AGI
FUL
SJR
AMOV
CTL
AMT
TVPT
VNE
PLOW
GPS
ARD
UAA
PKG
FBHS
UA
WRK
EAT
CATO
GCI
MHO
AEO
IGT
H
SRI
JW.A
NTZ
GEF
SHAK
LITB
TOWR
M
HZO
AAP
PIR
RACE
JILL
KO
BG
SYY
FLO
ONE
UTI
CHD
BGS
ANFI
NUS
DCP
SSL
SRLP
CKH
PER
OIS
SGU
ENB
BPL
FRAC
EQM
BAS
PSXP
CEO
SBOW
CXO
VLO
OII
EQT
RRC
OMP
EPD
MCA
MTG
DTF
GBL
EEA
CIB
ENVA
PGR
IAE
MDLY
BLX
IBN
EDD
BRK.B
DSU
BQH
TPRE
HQH
AEG
BSAC
TSS
RNP
JTD
ITCB
NMI
IGD
EV
CXH
DMB
BAM
RQI
NHA
INB
BTT
NNY
HQL
HTH
JHS
NHF
WDR
PRU
GDV
KTF
ALLY
FMY
HIG
FBC
GDL
MYD
DSL
FHN
MFC
OIA
AHL
BFZ
WRB
LFC
NOAH
BGB
JHB
JHI
HLI
MUFG
PFS
GIM
NTX
ADX
NKG
GCAP
AX
MRK
DVA
COO
SNN
UHS
KDMN
PKI
ZTS
FMS
EHC
HRC
LMT
CAAP
CIC
HRI
AIR
AGCO
ACM
CMI
NCS
GRAM
SALT
TGH
BSTI
FSS
NFC
OSG
KAMN
CNHI
OSK
EMR
FIX
AYR
GATX
AVY
SMHI
BRSS
AAN
ACA
EEX
VVI
ATI
SSW
SMTA
FCPT
ARR
KIM
HIFR
AVB
DRH
HPP
DX
HHC
XHR
TPL
SHO
UHT
MMI
ARE
GEO
GRP=
VTR
SRC
HCP
TDOC
GWRE
SQ
AMBR
GIB
SAP
ST
VCRA
KODK
GLOB
BHE
BITA
DQ
ANET
UIS
ARLO
WK
JT
EE
AQN
TGS
CIG.C
CWT
EBR
SXE
SJW
NJR
