Ticker,macd,downside_vol,vol_stability,return_6m,skewness,volatility,avg_volume,var_95,return_mean,volume_stability
ABUK,-4.581631584568204,0.027034395661207456,0.09703280622799884,-0.5517774476212299,-2.159181223924463,-0.8686857851128694,-0.3082438624005393,-0.680854883609943,-1.2359711905069781,-1.1171077445812836
ACGC,-0.0029886760910899863,-0.9361030739482623,-0.2600469409276137,-0.62124852327564,-0.4661515723580609,-0.8286619033965958,-0.1337436039009292,-0.7480663761294658,-0.020719785372540923,0.49313764854989267
ADIB,1.5739960778199846,-0.4440951946044098,-0.2878363549769438,0.4251638224113868,-1.209874815607619,-0.8040056754535599,-0.13183985488821837,-0.524848475969777,-0.006015745540416556,-1.3156742466475047
ADPC,0.24813037592383513,0.015845254290800415,-0.12333785197277129,-0.38518410541722137,-0.05753743508728348,-0.21032112655753402,0.12667498295395468,0.1886760801887788,0.14771405937909185,0.12868964425601917
AIHC,0.11353215878620584,4.026355624734061,1.6624913464338131,-1.1541880876656239,-7.410132229243735,0.43848445558599924,1.1678042719984245,-0.5598128771593709,-0.5523075604980843,-0.8614845040325627
ALCN,2.98416756870807,0.8948343399789042,1.199384939890508,-0.1294948005126859,-0.8429401015148709,0.018149547388943317,-0.2946344040150375,0.5222597089187654,-0.29949845771038064,0.09785787150278802
AMER,0.14379330572725726,-0.15318891734042767,0.3965643429753715,0.22109556184646031,0.21059963319152858,0.098777704547964,0.8295937256704801,0.043884192578388895,0.7801308906110529,-0.8024535319547773
AMIA,0.4093330804503701,-0.5296622280162886,-0.949667301644387,1.1634792963070943,0.13688130444559363,0.08762554051435661,0.139350256359848,0.3082985754479628,0.6005167329321833,-0.035681759326725036
AMOC,-0.31647099345932506,-0.587302493609218,0.5409986626544774,-0.62111496092913,-0.11000390513793107,-1.0518101047275636,0.21359047845301193,-0.9526932871822723,-1.2196868216781767,-0.41893504223064804
ARAB,0.0656116254967338,2.958020950142012,1.1112648975840766,-0.5649930903284891,-2.129419478007353,0.6365135458510407,1.208710164522697,0.638832674756142,-0.09788824959857766,0.33641519023505567
ARCC,6.147023643758706,0.3468720504566578,-0.38597418674589784,2.2443139525249003,0.16616540531047483,0.5510532370034705,-0.3579534546832996,0.4000349163484719,1.5671277005761144,0.3095636219725726
ASCM,0.2306703512961022,0.9859774518401098,0.7506854334959789,0.5574997411319103,0.5482695749383528,0.4368895023800557,-0.6321911875966654,0.8370686711144399,-0.6492422653174258,1.0474921213183663
ASPI,0.051577574723977636,-0.5427506025951856,-0.6195767986399697,0.04444442477513406,-0.4838766918037218,-0.598341739547316,1.0080502983675779,-0.3187301690502991,-0.46550179965174504,1.1646377631148583
ATLC,-0.011077283975671235,0.9314011339819948,0.20220913028367968,-0.6445927171515093,-0.5614651556773755,0.026634843583214694,-0.1352786050128075,-0.14428300633288826,-0.9100407636499219,0.4720791299754759
ATQA,-1.66079714537455,0.7222105582598173,0.21144115047908327,-0.7175024543268449,0.3351535129581641,1.0591528201064577,0.6895167763150812,1.4494675221439652,1.4135199229671216,-0.8168395422986704
BINV,5.147247064297791,0.3721182488667244,0.44532470634285376,0.7045223337227308,-1.2128186990957617,-0.30939185090860005,-0.6674721060776037,-0.09268692808887923,0.3234394125615315,0.7805197613736138
BTFH,0.16914837820517228,-0.46705561109658783,-0.9787829894708351,-0.08138951868409887,-1.0827083522516519,-0.5493687067353388,1.208710164522697,-0.5213525001159938,-0.6570254211009321,-1.4498765724926077
CCAP,1.1008994004866797,1.2303918353725072,-0.0026667868006075386,0.941083241005238,-0.6526557381364007,0.5220986212534477,1.0846308284058561,1.1249283758920445,0.006015745540416686,0.843587321774583
CERA,-0.08858774843670578,-0.4031030071413334,0.19639925531200594,0.8908060128175694,0.4776621589190663,-0.10214459315841233,0.6556948308982229,-0.19310703292666273,0.17007468523356548,0.23285619596982998
CIEB,1.5457528704136871,0.14119675148205127,0.18491085949287348,0.3018816858673483,-2.5610489259561136,-1.1494216328189972,-0.3586921607274834,-1.3262516262745596,-0.6367307226351872,0.9126031006109944
CIRA,0.3873417341192502,-1.8755413178030378,-0.36293232160135064,0.630184760399614,0.5027280029926241,-1.6901190983356726,-0.5642283255710903,-1.8404144795318176,-0.2898775493351682,2.2185768676414033
CLHO,0.07711921374034472,-1.2681113287728554,-0.9845346031732952,0.9319762795452785,-0.6060289082050928,-0.7802857908902244,-0.22715345410342566,-0.5703038439183112,0.40000025108500126,0.009660559327625377
CNFN,-0.1268967391741841,0.4358912543189459,0.06750119760435652,-0.2742158011633321,0.3656263981447152,0.004758364145734687,-0.2619045397230633,0.9347006221479213,-0.36598834143578185,3.0297998517879985
COMI,2.4197799376944076,-1.8755413178030378,0.49116528183527647,0.587098861259047,-0.6274954217524887,-1.6901190983356726,0.16939546944255424,-1.9236973985048937,-0.31979315617612586,-0.9946640723639751
COSG,-0.0350542048958916,-0.621439708878204,-0.04995163400633077,-0.7366834913116863,1.0226267659085007,0.12858267580128271,0.82199535361962,-0.07456293960939718,-0.26741582061483166,0.06834566377421113
CSAG,2.523664818092732,0.08374461334257566,0.17780494147419246,0.42040543135537434,0.26291476928508467,0.08607888759209924,-0.48687854964854954,0.010450110835706905,-0.050858020219875115,0.19478775097684708
DSCW,-0.07043437465475094,-0.6509560968344131,-0.8567385667762097,-0.22513827473298736,0.07176724807596878,0.004252877966239826,0.9853405768209939,-0.30197411981796013,0.7321284601082428,-1.1228161432790542
