Ticker,avg_volume,downside_vol,macd,return_6m,return_mean,rsi,skewness,vol_stability,volume_stability
ACA,-0.318101400424794,0.08453259741175888,3.8266957271281785,0.6104323190280644,0.6317537512418033,0.8493720642806628,0.4705712320930986,0.011337241687850897,-0.518088473901924
ACN,0.720553283006126,-0.0641877723787115,0.6508217955235432,-1.000828630190485,-0.9047282722330443,-0.5928210581787458,-0.2975309826747482,-0.41070255573880876,-0.27453676874550814
ADNT,0.3394750995491745,0.8484632501105763,-1.379403390318737,0.7891049084316871,-1.1278021307492683,-0.7003639026797022,-0.1796608032571819,-0.2570290726312171,1.1487828581745272
AI,1.0139469648597021,1.4299239674089064,-1.2792399123545817,-1.4753432472252737,-1.1162183554376366,0.777939679355275,0.9019227516828837,0.051447657480637746,1.2497408672936627
ALK,0.6787415789819037,0.6717196120308795,-1.8622547893741412,-0.8281679699647432,0.22475743245455299,0.6309728826064206,0.7087056183909359,0.49226905506989954,0.6881857298181819
ALV,0.10707996312176372,-0.09539108763778828,-1.1509581585228597,0.35556466020979727,0.051034840733328556,-0.8252446960019827,-0.08741375455689969,-0.3604872015324194,-0.36191445107760345
ALX,-1.2577286729304749,-0.04771004946276852,-7.8430772891417915,-0.5206043889364583,0.08478387977674762,-0.1467737493199867,-0.6011741592645949,-0.32492458875090807,1.7108642849666982
AMN,0.18783306404621727,1.520060488496596,-0.9755385516958744,-0.9083291776923732,-1.7036433085452267,0.021992301399887528,-1.2227575986410362,0.04865813934941594,0.07414066308590132
AMRX,0.41599981567222605,-0.10843829335571677,0.7405746390640034,2.2715693567040023,2.1184981940128984,1.669721373809052,0.9585477092930076,-0.4561245211947459,-0.3670692446895111
AN,-0.08429298641732204,-0.17372111426455267,1.7194896971819353,0.3475794407833999,0.7326335389937773,0.24964502657908616,0.46595962359478527,-0.5765500570043902,-0.5769429716358907
APAM,-0.052187105282348156,-0.1638315309597907,-1.0158384123089463,-0.12418416299145602,-0.012411895107871239,0.15289994311896205,0.28867698901439826,-0.352882340165155,-0.5092300458061336
AQN,1.0392227763782362,-0.03157388884159787,0.16091171306030108,0.29124243143743356,-0.22546751892904385,-0.19038629715606473,0.9449124217096259,0.36527696147781374,0.1655870380887131
ASGN,-0.11294771502853497,0.21838328401107368,-0.669853699567519,-0.724620004045177,-1.7036433085452267,0.2425247385986013,0.14876178276022262,-0.20824795788950834,-0.13917668806957018
ASH,-0.010899432963470039,0.2097239062392972,0.7936482847008999,0.09673729932640386,-1.1194473074177134,-0.1990248306327473,0.5667929048613887,0.7816595522634393,0.0
ASIX,-0.45947003025863725,0.5042068468978727,-1.5556263236018346,-1.4753432472252737,-1.2523511730255397,-0.5405901972605712,-0.19390400358612772,-0.4058716346815816,0.0572846733093691
ASX,1.1085115824104466,0.3651334656958776,0.43429568557716536,1.8993436836780906,1.1444663885121642,0.21559592950122894,0.15171027288295738,-0.48416550772054495,-0.5125213541765083
AVX,-0.14468248116665686,2.6462943157223395,-0.43766190595983345,-1.4753432472252737,-1.7036433085452267,1.7612865823833352,2.8092178890999464,2.3842399760287636,11.933758767413666
AXR,-1.4843094630430842,1.0829967299892351,-0.4624768851597986,0.13564667611125128,0.749248880767038,1.085518164533039,0.2195063284285399,-0.34197463846565623,1.3136410213073761
BBDO,-1.0641605959188516,0.21148718002787165,0.13643461042675234,0.6298087248212718,0.1279258504603827,0.4798505344134507,0.3013216692337511,-0.39560724822216553,2.180463171407143
BBU,-1.2942004476636362,0.17441659936719278,0.07742927608604137,1.2159272818449567,1.4563655679539513,0.7701630230235128,0.2647147907458155,-0.3080117365806131,2.5553879150552867
BCC,-0.20515981987400325,0.13074655411810593,0.4675925003688291,-0.631368077420226,-0.9340301053866431,0.5784721196090502,0.31300520825452566,-0.9838482232380361,0.14954345954677584
BDX,0.5154945692676635,0.07678619443068653,3.361923253863736,0.28472184048209226,-0.702683806985719,0.13022800123875886,-2.708029049789523,1.248360192575879,-0.03553050485939227
BGY,-0.33652799647338133,-0.6363922617606386,-0.0031145366206085144,-0.2988340491811692,-0.09662474258068611,-1.0919716582332073,-0.5500423232978925,0.4387753211666558,0.09103491894043726
BIT,-0.4501832248987964,-0.8269172649098695,-0.008932294052305646,-0.5158046764481551,-0.662769772906995,-1.716154080693519,-1.4893751979698668,1.4615444189077427,0.9618536346199248
BLK,0.06969489018514259,-0.28199322375429275,-10.092488540554339,0.011156100787453669,0.4557970725903556,-0.010156947741849396,-0.00019962407690410204,0.44685668525469124,-0.2772238903192473
BMO,0.13866728327328087,-0.2630218538902958,-0.5477167470298255,0.37296849599182885,0.6005987372453933,-0.49615612287243127,-1.1532648850066864,0.3209757852713463,0.6286104418737223
BOE,-0.5289434127863751,-0.7384831638234904,-0.012904941772636796,-0.11084534047338059,0.0,-0.0736590865880706,0.011254411315398238,1.3663277362092459,-0.7848538926077064
BOH,-0.15818288655781423,-0.2452824666581305,0.47231115032937154,-0.26695207870324356,-0.09629974289478382,1.594635555001844,0.677901324428875,-0.6341814888134812,-0.041645183267360636
BP,1.1507940580009646,-0.11973323412174415,0.48371107585019546,0.5602262969966997,-0.24184355533757687,-0.9929376937625577,-0.4384396793416515,0.1063058973571071,-0.25106409093664256
BSL,-0.9745888164469637,-1.0277397102414658,-0.06371245274237985,-0.37304159112838114,-0.27795890794219025,-0.5379290882808054,0.14484424307389698,0.3608116407897135,0.19050614412386233
BTI,0.9034035012510636,-0.35297526735717416,1.7031243130568912,0.8241847692358427,1.0531922664260707,-0.1845244407568011,-0.5756160801684946,-0.2645941809956949,-0.5505274162985399
