Ticker,return_mean,return_total,return_6m,volatility,downside_vol,vol_stability,sharpe,sortino,var_95,skewness,avg_volume,volume_stability,rsi,macd,Cluster
ABUK,-0.1751478260869565,-0.4091438932780728,-0.07651821862348185,0.3918076182704984,0.3038917633250265,0.4898427808464136,-0.4541427087214808,-0.6252402148687614,0.03444,-0.8842971089235939,2.7060774692485627,0.8848134479015524,3.984299076513046,-0.9845159035544953,0
ACGC,0.3465913043478261,0.6543967280163601,-0.1011111111111112,0.3965592634819732,0.2495250402007276,0.4354792887811213,0.8739962377996031,1.389004101828877,0.03396,0.5905793496987991,2.7319925037812216,1.408633143040589,4.052679337698438,-0.007530432957755906,0
ADIB,0.3529041322314049,0.711939355653822,0.269320843091335,0.3994945283952591,0.2770083335516146,0.4312484983142749,0.8833766350918386,1.273983810186161,0.035555,-0.05731237634640603,2.732275229559568,0.8202189177629529,3.9786300727938193,0.3289647300677743,0
ADPC,0.4189043478260869,0.8025751072961371,-0.01754385964912286,0.4720643907374767,0.3032467782444911,0.456292520368325,0.8873881530688194,1.38139752135585,0.04067,0.9465420294802122,2.7706672698206405,1.290076652633853,4.048886863918183,0.04605305676020732,0
AIHC,0.1183668049792531,-0.1092636579572446,-0.2897727272727273,0.5556822337796695,0.5561323303964977,0.7281755163401891,0.2130116778687333,0.2128392803469326,0.035305,-5.458643468397993,2.925285387355465,0.9679687784529472,3.973451960171014,0.01733264655564154,2
ALCN,0.226904347826087,0.2418790604697652,0.07297063903281531,0.5009841093278565,0.3548998981356449,0.6576700293781087,0.4529172554604823,0.6393474583060116,0.04307,0.2623414295783904,2.708098610002528,1.28004694543948,4.047424861182376,0.6298654740626013,0
AMER,0.6904173913043478,1.912966252220249,0.1970802919708028,0.5113250458795743,0.2935417260735459,0.535444863997252,1.350251463072186,2.352024703743024,0.03963,1.180128635197693,2.875057736905207,0.9871718054756908,4.076409656495139,0.02378973470948353,0
AMIA,0.613304347826087,1.548076923076923,0.5306859205776173,0.5098904944252738,0.2721855515433501,0.3304882572075709,1.20281580953451,2.253258280421282,0.04153,1.115909188399598,2.772549674757166,1.236605933896467,4.069259969560911,0.08045030137863662,0
AMOC,-0.1681565217391306,-0.3781048758049678,-0.101063829787234,0.3702724243058552,0.2689470666476992,0.5574342208688674,-0.4541427087214808,-0.6252402148687614,0.03249999999999999,0.9008360600229596,2.7835750906264547,1.111932006141026,4.025762860471322,-0.0744209233235198,0
ARAB,0.3134608695652174,0.3354037267080745,-0.08119658119658124,0.5821381056813193,0.4843273417040965,0.6442542216800282,0.5384647843974257,0.6472087007566232,0.04391,-0.8583702751082294,2.931360321722156,1.357650658826625,4.068945896982111,0.007107419189606695,2
ARCC,1.028295652173913,4.272914521112256,0.913303437967115,0.570666218615344,0.3224640217592555,0.41630753545885,1.801921365993863,3.188869401813812,0.04219,1.1414199235114,2.698695097373079,1.348915729131277,4.066179297084069,1.304752005438964,0
ASCM,0.07675020746887976,-0.01294498381877029,0.316168009205984,0.5554709604651252,0.3603716366900017,0.5893579163280529,0.138171412965698,0.2129751613468451,0.04534000000000001,1.474288543977798,2.6579680498620073,1.588967017717843,4.022139568900898,0.04232745711888697,0
ASPI,0.1556347826086956,0.164179104477612,0.1345454545454545,0.4242199168000607,0.2714494642764164,0.3807427804166084,0.3668728799502545,0.573347171723327,0.03702999999999999,0.5751381780852434,2.9015603236852465,1.627074994697291,4.039802263060123,0.004112849843913802,0
ATLC,-0.03521739130434782,-0.220703125,-0.109375,0.5020690483048527,0.357092521657067,0.5058553167121508,-0.07014451781732635,-0.09862259545768019,0.03827999999999999,0.5075472775230168,2.731764540756043,1.401782717119928,4.019254066361669,-0.009256370651206325,0
ATQA,0.9623478260869565,3.151111111111111,-0.1351851851851853,0.6401154060153692,0.3445967459086587,0.5072608426783735,1.503397382789831,2.792678217402678,0.04977,1.2886332824305,2.854254908239009,0.9824919749450463,4.127078588152964,-0.361271665872744,0
BINV,0.4943478260869565,1.059677419354839,0.3682142857142858,0.4596978902275188,0.3239412278923837,0.5428683699455569,1.075375451130064,1.526041712267583,0.03865,-0.05987692945365491,2.6527284804273323,1.502119770215476,4.015693133439888,1.091420847822853,0
BTFH,0.07340869565217395,-0.03539823008849563,0.09000000000000008,0.4301716743003624,0.2757124324992542,0.3260555486130987,0.1706497662161669,0.2662509448222743,0.03558,0.05346821332398514,2.931360321722156,0.7765623287045392,4.010156457458103,0.02919997043041889,0
CCAP,0.3580695652173913,0.3830508474576271,0.4519572953736655,0.5667983499417256,0.3751542825695723,0.474664048146792,0.6317406627140068,0.9544594900125852,0.04742,0.4281069421500096,2.912933298702792,1.52263591663845,4.0304667306126385,0.228015914189061,0
CERA,0.4285043478260869,0.7515923566878981,0.4341590612777055,0.4856872098880287,0.2793252336331264,0.5049707941525857,0.8822640149920259,1.534069594259774,0.03792999999999999,1.412779157184333,2.849232010903636,1.323962476245067,4.067336794660435,-0.02579546293495527,0
CIEB,0.08212173913043475,0.03239637922820404,0.2256787330316743,0.358929901841886,0.3104907909052839,0.5032217470001462,0.2287960370786009,0.2644900961184585,0.02984,-1.23438265683989,2.6985853921336194,1.545087043891529,3.943373078540811,0.3229382274925428,0
CIRA,0.2310348547717842,0.436210847975554,0.3418986438258387,0.2977798217365436,0.1986807127725352,0.4198155368589105,0.792094283007125,1.418460305844886,0.02619,1.434615173644757,2.6680612149465452,1.969925881141796,4.071690025369088,0.07575781361013512,0
