Ticker,avg_volume,downside_vol,return_6m,return_mean,skewness,vol_stability,volume_stability
ACA,-0.318101400424795,0.0845059599833907,0.6104323190280645,0.6317537512418032,0.4705712320930987,0.011337241687850485,-0.5180884739100062
ACN,0.7205532830061264,-0.06473175237209282,-1.000828630190485,-0.9047282722330445,-0.2975309826747482,-0.41070255573880915,-0.27453676874504734
ADNT,0.33947509954917476,0.8124422825432124,0.7891049084316871,-1.1278021307492687,-0.17966080325718192,-0.25702907263121755,1.1487828581884094
AI,1.0139469648597008,1.3276263699654116,-1.4753432472252739,-1.116218355437637,0.9019227516828839,0.051447657480638155,1.2497408673107462
ALK,0.6787415789819027,0.6494682065705422,-0.828167969964743,0.2247574324545529,0.7087056183909362,0.49226905506989993,0.6881857298287006
ALV,0.10707996312176454,-0.0963779410795474,0.3555646602097974,0.05103484073332857,-0.08741375455689976,-0.36048720153241987,-0.36191445108002096
ALX,-1.2577286729304795,-0.04806743437208408,-0.5206043889364583,0.08478387977674745,-0.601174159264595,-0.32492458875090846,1.7108642848389284
AMN,0.1878330640462145,1.4047735959813379,-0.9083291776923732,-1.7036433085452272,-1.2227575986410366,0.04865813934941552,0.07414066308817008
AMRX,0.4159998156722271,-0.10964523562857241,2.2715693567040023,2.118498194012899,0.9585477092930078,-0.4561245211947459,-0.36706924469064744
AN,-0.0842929864173243,-0.1763411813302975,0.3475794407834001,0.7326335389937771,0.4659596235947853,-0.5765500570043898,-0.5769429716416627
APAM,-0.0521871052823482,-0.16620393053221305,-0.124184162991456,-0.012411895107871242,0.2886769890143983,-0.35288234016515463,-0.5092300458110433
AQN,1.039222776378235,-0.031780053393669676,0.29124243143743367,-0.2254675189290439,0.9449124217096261,0.36527696147781374,0.1655870380942105
ASGN,-0.11294771502853505,0.21662444045458662,-0.7246200040451769,-1.7036433085452272,0.14876178276022264,-0.20824795788950876,-0.1391766880718884
ASH,-0.010899432963473692,0.2081387935240006,0.09673729932640386,-1.1194473074177136,0.5667929048613888,0.7816595522634393,0.0
ASIX,-0.4594700302586405,0.4920760578580252,-1.4753432472252739,-1.2523511730255399,-0.1939040035861278,-0.4058716346815812,0.05728467330167669
ASX,1.1085115824104446,0.35916065981010625,1.8993436836780906,1.1444663885121649,0.1517102728829574,-0.48416550772054495,-0.5125213541782403
AVX,-0.14468248116665694,2.3140953905336703,-1.4753432472252739,-1.7036433085452272,2.8092178890999473,2.3842399760287636,11.933758751551801
AXR,-1.4843094630430869,1.024003160316666,0.13564667611125134,0.749248880767038,0.21950632842853995,-0.3419746384656558,1.313641021089396
BBDO,-1.0641605959188551,0.2098673761666677,0.6298087248212718,0.1279258504603828,0.3013216692337512,-0.3956072482221659,2.180463171329644
BBU,-1.2942004476636408,0.173452155098543,1.2159272818449567,1.4563655679539516,0.26471479074581555,-0.3080117365806135,2.5553879148869476
BCC,-0.20515981987400342,0.1303536359809003,-0.6313680774202258,-0.9340301053866434,0.3130052082545257,-0.9838482232380363,0.14954345954551224
BDX,0.5154945692676646,0.07679676726755502,0.28472184048209237,-0.7026838069857192,-2.7080290497895234,1.248360192575879,-0.03553050485684392
BGY,-0.3365279964733845,-0.6645996813105658,-0.2988340491811692,-0.09662474258068612,-0.5500423232978926,0.4387753211666558,0.0910349189361685
BIT,-0.4501832248987982,-0.8740831831735437,-0.5158046764481551,-0.6627697729069951,-1.4893751979698666,1.4615444189077427,0.9618536346174277
BLK,0.06969489018513972,-0.2881203865222743,0.011156100787453669,0.4557970725903556,-0.00019962407690410206,0.44685668525469124,-0.277223890321115
BMO,0.1386672832732817,-0.26842830367867243,0.37296849599182874,0.6005987372453936,-1.153264885006687,0.3209757852713463,0.6286104418809686
BOE,-0.5289434127863769,-0.776208825497087,-0.11084534047338059,0.0,0.011254411315398241,1.3663277362092459,-0.7848538926212895
BOH,-0.15818288655781507,-0.2500560657100528,-0.26695207870324356,-0.09629974289478384,0.6779013244288751,-0.6341814888134812,-0.04164518326944324
BP,1.1507940580009655,-0.12114740416677436,0.5602262969966998,-0.2418435553375769,-0.4384396793416516,0.10630589735710752,-0.2510640909355444
BSL,-0.9745888164469674,-1.100606905114545,-0.37304159112838114,-0.2779589079421903,0.144844243073897,0.3608116407897131,0.19050614408407246
BTI,0.9034035012510621,-0.36220512629534457,0.8241847692358429,1.0531922664260709,-0.5756160801684949,-0.2645941809956949,-0.5505274163008081
BXMT,0.4778599686835235,0.011186620676494756,-0.07073299550389991,-0.5946005459042153,-0.6554947019018751,-0.29785384329854464,0.23865312760591506
BXMX,-0.4703579604228541,-0.6823014381799998,0.03118160219933549,-0.06805187994157749,0.8123717071600335,1.8031707593240505,-0.22516934700672991
BYD,0.2240778356780453,0.15359365308151068,0.19313524667794987,0.48661263315930964,-0.8333963451201134,0.28140277963068927,-0.26718017954096507
CBZ,-0.12627027506135466,0.8721223419907583,-1.4217976669199366,-0.4979004211114023,-2.4910064208284033,1.26419847656885,0.28216505073833487
CHD,0.465805373435341,-0.5362863141537634,-0.7628115963456472,-0.5553581752951345,-0.010167300451415583,-0.410948257903261,-0.52568711571966
CHH,-0.07730114755101238,-0.3195518362000677,-1.2236970850353457,-0.7071049391127175,0.4267076214530825,-0.47413381155381484,-0.5932725652780757
CMS,0.5953565944530327,-0.7312536591756426,0.024202533794431765,0.24347608975513133,-0.1399204375465956,-1.0685303288990025,-0.8170492509881041
CNC,1.0202547586084725,1.6588256063869804,-1.2890315660191676,-1.2751386559368267,-2.7080290497895234,2.2973729138228216,1.5874931069940605
