ticker,company name,short name,industry,exchange,market cap,sector
FLOW,SPX FLOW Inc.,SPX FLOW,Industrial Products,New York Stock Exchange,1394853544,Industrials
FLR,Fluor Corporation,Fluor,Engineering & Construction,New York Stock Exchange,5092197564,Industrials
FLS,Flowserve Corporation,Flowserve,Industrial Products,New York Stock Exchange,5815283169,Industrials
FLT,FleetCor Technologies Inc.,FleetCor,Business Services,New York Stock Exchange,24818315384,Industrials
FLY,Fly Leasing Limited,Fly Leasing Limited,Consulting & Outsourcing,New York Stock Exchange,359803209,Industrials
FMC,FMC Corporation,FMC,Agriculture,New York Stock Exchange,11472854188,Basic Materials
FMN,Federated Premier Municipal Income Fund,Federated Premier Municipal Income Fund,Asset Management,New York Stock Exchange,151527508,Financial Services
FMO,Fiduciary/Claymore Energy Infrastructure Fund of Beneficial Interest,Fiduciary/Claymore Energy Infrastructure Fund of Beneficial Interest,Asset Management,New York Stock Exchange,379216218,Financial Services
FMS,Fresenius Medical Care AG,Fresenius Medical Care AG,Health Care Providers,New York Stock Exchange,22442676652,Healthcare
FMX,Fomento Economico Mexicano S.A.B. de C.V.,Fomento Economico Mexicano S.A.B. de C.V.,Beverages - Alcoholic,New York Stock Exchange,1.62201E+11,Consumer Defensive
FMY,First Trust Motgage Income Fund of Beneficial Interest,First Trust Motgage Income Fund of Beneficial Interest,Asset Management,New York Stock Exchange,56481441,Financial Services
FN,Fabrinet,Fabrinet,Computer Hardware,New York Stock Exchange,2099480772,Technology
FNB,F.N.B. Corporation,F.N.B.,Banks,New York Stock Exchange,3813938861,Financial Services
FND,Floor & Decor Holdings Inc.,Floor & Decor,Retail - Apparel & Specialty,New York Stock Exchange,3259520246,Consumer Cyclical
FNF,FNF Group of Fidelity National Financial Inc.,FNF of Fidelity National Financial,Insurance - Specialty,New York Stock Exchange,9712681322,Financial Services
FNV,Franco-Nevada Corporation,Franco-Nevada,Metals & Mining,New York Stock Exchange,14352917939,Basic Materials
FOE,Ferro Corporation,Ferro,Chemicals,New York Stock Exchange,1408794614,Basic Materials
FOF,Cohen & Steers Closed-End Opportunity Fund Inc.,Cohen & Steers Closed-End Opportunity Fund,Asset Management,New York Stock Exchange,330863240,Financial Services
FOR,Forestar Group Inc,Forestar,Real Estate Services,New York Stock Exchange,691852230,Real Estate
FPAC,Far Point Acquisition Corporation Class A,Far Point Acquisition,Conglomerates,New York Stock Exchange,766285525,Industrials
FPF,First Trust Intermediate Duration Preferred & Income Fund of Beneficial Interest,First Trust Intermediate Duration Preferred & Income Fund of Beneficial Interest,Asset Management,New York Stock Exchange,1291277436,Financial Services
FPH,Five Point Holdings LLC Class A,Five Point LLC,Real Estate Services,New York Stock Exchange,494302148,Real Estate
FPI,Farmland Partners Inc.,Farmland Partners,REITs,New York Stock Exchange,208209517,Real Estate
FPI-B,Farmland Partners Inc. Series B Participating Preferred Stock,Farmland Partners Series B Participating Preferred Stock,REITs,New York Stock Exchange,945743958,Real Estate
FPL,First Trust New Opportunities MLP & Energy Fund of Beneficial Interest,First Trust New Opportunities MLP & Energy Fund of Beneficial Interest,Asset Management,New York Stock Exchange,225035805,Financial Services
FR,First Industrial Realty Trust Inc.,First Industrial Realty Trust,REITs,New York Stock Exchange,4174477020,Real Estate
FRA,Blackrock Floating Rate Income Strategies Fund Inc,Blackrock Floating Rate Income Strategies Fund,Asset Management,New York Stock Exchange,468384699,Financial Services
FRAC,Keane Group Inc.,Keane,Oil & Gas - Services,New York Stock Exchange,1110649602,Energy
FRC,FIRST REPUBLIC BANK,FIRST REPUBLIC BANK,Banks,New York Stock Exchange,16357794781,Financial Services
