"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","26.10","26.45","26.55","25.92","1.13M","-0.46%"
"11/28/2024","26.22","26.32","26.85","26.13","2.41M","0.27%"
"11/27/2024","26.15","25.51","26.25","25.42","3.39M","2.95%"
"11/26/2024","25.40","25.87","26.07","25.30","1.27M","-1.55%"
"11/25/2024","25.80","26.20","26.30","25.63","1.72M","-1.45%"
"11/24/2024","26.18","26.61","26.79","26.17","705.00K","-1.28%"
"11/21/2024","26.52","26.31","27.00","26.31","3.12M","1.11%"
"11/20/2024","26.23","26.40","26.65","26.23","1.07M","-0.46%"
"11/19/2024","26.35","26.65","26.80","26.31","1.25M","-0.57%"
"11/18/2024","26.50","27.55","27.55","26.50","4.04M","-3.64%"
"11/17/2024","27.50","27.89","27.89","27.37","1.79M","-1.19%"
"11/14/2024","27.83","28.00","28.18","27.71","870.29K","-0.14%"
"11/13/2024","27.87","28.61","28.70","27.87","1.76M","-2.55%"
"11/12/2024","28.60","29.20","29.26","28.42","2.43M","-1.68%"
"11/11/2024","29.09","29.47","29.57","28.75","1.24M","-0.38%"
"11/10/2024","29.20","29.30","29.69","29.06","1.12M","0.00%"
"11/07/2024","29.20","30.10","30.30","28.91","2.45M","-2.31%"
"11/06/2024","29.89","28.79","29.94","28.79","2.30M","3.97%"
"11/05/2024","28.75","29.49","29.53","28.66","1.24M","-1.94%"
"11/04/2024","29.32","29.49","29.78","29.05","1.86M","0.07%"
"11/03/2024","29.30","29.88","29.96","29.30","943.12K","-0.34%"
"10/31/2024","29.40","29.55","29.81","29.06","1.23M","-0.37%"
"10/30/2024","29.51","29.71","30.08","29.50","1.19M","-0.64%"
"10/29/2024","29.70","30.83","30.93","29.61","3.17M","-2.78%"
"10/28/2024","30.55","30.88","31.25","30.28","9.18M","0.99%"
"10/27/2024","30.25","30.00","30.87","29.50","4.17M","1.68%"
"10/24/2024","29.75","30.75","31.25","29.60","3.96M","-3.28%"
"10/23/2024","30.76","32.10","32.89","29.80","9.62M","-4.59%"
"10/22/2024","32.24","33.90","34.50","31.71","3.78M","-7.22%"
"10/21/2024","34.75","29.27","35.12","28.52","6.55M","18.72%"
